cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"10194","13845","729057","1128424","Pine River State Bank","Pine River","MN","56474","3/31/2015","5/17/2015","NM","103 Mill Street","NORBANC GROUP INC.","5","0","0","4","1","Cass","","","1/22/1918","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Forks","Minneapolis","Central","West","www.pineriverstatebank.com","95631","95631","83490","0","12141","0","0","0","","33510","21243","62121","22243","14453","25425","74388","21243","74388","94537","86367","3062","0","0","0","",""
"22497","0","612551","2042648","Pine River Valley Bank","Bayfield","CO","81122","3/31/2015","5/17/2015","NM","301 North Commerce Drive","PINE RIVER BANK CORP.","4","0","0","4","0","La Plata","","","8/1/1977","8/1/1977","6/1/2007","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","www.prvb.com","125047","125047","111953","0","13094","0","0","0","","11700","9319","113347","59838","19695","33814","115728","38500","86547","119448","113078","6305","0","0","0","",""
"18605","0","882130","1081622","Pineland State Bank","Metter","GA","30439","3/31/2015","5/17/2015","NM","257 North Broad Street","SOUTH BANKING COMPANY","2","0","0","4","0","Candler","","","9/8/1959","10/15/1962","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Savannah","Atlanta","Southern","Southeast","http://www.pinelandbank.com","51548","51548","44728","0","6820","0","0","0","","20159","12056","31389","5215","3144","23030","39492","12056","39492","50142","45500","3232","0","0","0","",""
"34908","0","2847142","3458040","Pinnacle Bank","Orange City","FL","32763","3/31/2015","5/17/2015","NM","1113 Saxon Boulevard","PINNACLE BANK HOLDING COMPANY, INC.","2","0","0","4","0","Volusia","19660","Deltona-Daytona Beach-Ormond Beach, FL","9/10/1999","9/10/1999","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Gainesville","Atlanta","Southern","Southeast","http://www.pinnaclebank-fl.com","127447","127447","66342","0","0","61105","0","0","","20364","11739","107083","18789","4959","83336","115708","9633","117814","116568","122690","4569","10047","10047","51554","",""
"11256","15413","3284780","3451416","Pinnacle Bank","Rogers","AR","72758","3/31/2015","5/17/2015","NM","4201 W New Hope Rd","PINNACLE BANCSHARES, INC.","1","0","0","4","0","Benton","22220","Fayetteville-Springdale-Rogers, AR-MO","10/31/1903","1/1/1934","7/31/2007","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","http://www.pinnaclebk.com","70868","70868","36143","0","13415","21310","0","0","","4901","2134","65967","4870","928","60169","68734","2131","68736","55410","62402","1795","0","0","21026","",""
"14065","15871","366238","3145966","Pinnacle Bank","Elberton","GA","30635","3/31/2015","5/17/2015","NM","884 Elbert Street","PINNACLE FINANCIAL CORPORATION","13","0","0","4","1","Elbert","","","3/12/1934","3/12/1934","2/6/2015","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","www.pinnaclebank.com","567790","567790","482790","43","84112","844","0","0","","66737","35060","501052","100673","270103","130275","532729","137266","430524","551149","461080","29032","6818","6818","0","",""
"252","10067","365745","3916317","Pinnacle Bank","Marshalltown","IA","50158","3/31/2015","5/17/2015","SM","2206 South Center Street","IOWA RIVER BANCORP, INC.","1","0","0","7","0","Marshall","","","5/5/1927","1/1/1934","8/5/2014","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","www.bankpinnacle.us","157765","157765","157177","0","588","0","0","0","","130589","90665","27176","14511","0","12665","67100","90665","67100","157035","46878","2316","77","77","0","",""
"58297","0","3455227","0","Pinnacle Bank","Gilroy","CA","95020","3/31/2015","5/17/2015","NM","7597 Monterey Street","","3","0","0","4","0","Santa Clara","41940","San Jose-Sunnyvale-Santa Clara, CA","7/17/2006","7/17/2006","12/23/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","http://www.pinnaclebankonline.com","216804","216804","211835","0","4969","0","0","0","","104916","91022","111888","55707","20115","36065","125782","85864","130940","193585","136781","1163","15530","15530","0","",""
"58186","0","3383599","4672795","Pinnacle Bank","Scottsdale","AZ","85260","3/31/2015","5/17/2015","NM","14287 N 87th St, Suite 123","PB FINANCIAL HOLDINGS, INC.","2","0","0","4","0","Maricopa","38060","Phoenix-Mesa-Scottsdale, AZ","9/28/2005","9/28/2005","12/8/2009","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","http://www.pinnaclebankaz.com","125092","125092","124343","0","749","0","0","0","","64791","64791","60301","12145","7539","40616","60301","26959","98133","108803","97209","969","3527","3527","0","",""
"20231","0","867650","1053272","Pinnacle Bank","Keene","TX","76059","3/31/2015","5/17/2015","NM","309 South Old Betsy Road","PINNACLE BANCORP, INC.","13","0","0","4","1","Johnson","19100","Dallas-Fort Worth-Arlington, TX","8/10/1970","8/10/1970","2/21/2009","Stock","0","0","FDIC","DIF","Dallas","KANSAS CITY","Dallas","Dallas","Southern","West","www.pinnbanktx.com","569320","569320","538122","2","31196","0","0","0","","190719","105673","378601","212355","55972","110274","463647","105260","464060","539033","419441","16224","0","0","0","",""
"29548","3645","288376","2520605","Pinnacle Bank","Jasper","AL","35501","3/31/2015","5/17/2015","NM","1811 Second Avenue","PINNACLE BANCSHARES, INC.","7","0","0","4","0","Walker","13820","Birmingham-Hoover, AL","11/1/1935","12/17/1935","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","www.pinnaclebanc.com","194803","194803","164986","0","29070","747","0","0","","74189","49525","120614","41524","17721","61369","145278","49525","145278","173800","145578","7865","16620","0","2138","",""
"35583","0","2925666","2925657","Pinnacle Bank","Nashville","TN","37201","3/31/2015","5/17/2015","NM","150 3rd Avenue South","PINNACLE FINANCIAL PARTNERS, INC.","34","0","0","4","0","Davidson","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","10/27/2000","10/27/2000","9/4/2012","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","http://www.pnfp.com","4829977","4829977","4268738","0","519798","41441","0","0","","517156","358138","4312821","1789625","2103028","420168","4471839","1425890","3404087","4454757","2642612","70879","305482","305482","41196","",""
"10634","10450","913856","1053272","Pinnacle Bank","Lincoln","NE","68508","3/31/2015","5/17/2015","NM","1401 N Street","PINNACLE BANCORP, INC.","73","0","1","2","1","Lancaster","30700","Lincoln, NE","1/1/1880","1/1/1934","1/2/2015","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","www.pinnbank.com","3620709","3620709","3183130","2","436463","1114","0","0","","565906","417648","3054803","1820261","403576","830966","3203061","414511","3206198","3448728","2417392","118662","40225","40225","0","",""
"2232","15713","561659","1053272","Pinnacle Bank - Wyoming","Torrington","WY","82240","3/31/2015","5/17/2015","NM","2000 Main Street","PINNACLE BANCORP, INC.","15","0","1","2","1","Goshen","","","4/6/1918","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","San Francisco","KANSAS CITY","Billings","Kansas City","Western","West","WYPinnbank.com","592774","592774","515454","2","77318","0","0","0","","75693","40769","517081","275517","77175","164389","552005","40491","552283","549876","479932","17750","784","784","0","",""
"58179","0","3384868","3384859","Pinnacle Bank of South Carolina","Greenville","SC","29607","3/31/2015","5/17/2015","NM","937 N. Pleasantburg Drive","PBSC FINANCIAL CORPORATION","3","0","0","4","1","Greenville","24860","Greenville-Anderson-Mauldin, SC","1/9/2006","1/9/2006","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","www.pinnaclebanksc.com","122122","122122","109596","0","7552","4974","0","0","","37353","26685","84769","43781","3458","37530","95437","26685","95437","95653","100638","3453","23969","23969","0","",""
