cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"35084","0","2769570","2877402","Petit Jean State Bank","Morrilton","AR","72110","3/31/2015","5/17/2015","SM","707 North St. Joseph Street","PETIT JEAN BANCSHARES, INC.","2","0","0","8","0","Conway","","","2/16/1999","2/16/1999","5/13/2013","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","http://www.pjsb.com","30","181663","32381","27359","63743","0","77775","2615","0","2671","277","0","4816","181663","161553","152168","124904","152168","83.7487681492675","7546","0","17","0","1822","20110","20110","0","50","6625","13435","0","615","0","800","168877","45145","180582","180582","88547","180451","2865","2865","0","0","12372","6412","17","0","7452","20110","1125","7452","0"
"18841","10263","342054","1249600","Phelps County Bank","Rolla","MO","65401","3/31/2015","5/17/2015","NM","718 North Pine Street","PHELPS COUNTY BANK EMPLOYEE STOCK OWNERSHIP PLAN","4","0","0","5","1","Phelps","","","8/1/1963","8/1/1963","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","www.mypcb.com","79","345804","17045","12612","136567","2648","182281","1853","0","5152","0","0","2111","345804","320435","309579","262622","309579","79.3943817539417","10424","0","0","0","432","25369","25369","0","750","3073","21546","0","350","0","926","334108","171864","345604.5","345604.5","163770","341192","0","0","0","0","13307","2097","0","94","25253","24888","1853","25253","8302"
"41","14012","432432","2013246","Phenix-Girard Bank","Phenix City","AL","36867","3/31/2015","5/17/2015","NM","8th Avenue And 13th Street","PHENIX-GIRARD BANCSHARES, INC.","4","0","0","4","1","Russell","17980","Columbus, GA-AL","5/4/1904","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","www.phenix-girard.com","39","176283","13976","11157","73652","0","73308","1041","0","1650","6131","0","7566","176283","150544","133337","98835","133337","72.0004199412082","0","0","13500","0","3707","25739","25739","0","1250","1250","23239","0","2458","0","656","158117","64003","178393.5","178393.5","98034","180702","5314","1679","2153","1482","1044","1493","13500","854","6032","26145","1041","6032","0"
"5722","0","667346","2948919","Philo Exchange Bank","Philo","IL","61864","3/31/2015","5/17/2015","NM","102 West Washington Street","YANKEE RIDGE, INC.","4","0","0","2","1","Champaign","16580","Champaign-Urbana, IL","1/1/1883","1/1/1934","10/24/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","www.philobank.com","14","85119","9326","8618","29670","0","42559","660","0","750","0","1230","1584","85119","75468","75148","45507","75148","90.6464363126355","0","0","0","0","320","9651","9651","0","700","6223","2728","0","470","0","481","80847","16737","86025","86025","52263","87251","1029","1029","0","0","655","1221","0","0","18053","8450","653","18053","0"
"29995","4504","824671","0","Phoenixville Federal Bank and Trust","Phoenixville","PA","19460","3/31/2015","5/17/2015","SA","564 Nutt Road","","6","0","0","5","0","Chester","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","1/1/1911","1/12/1940","7/21/2011","Non-Stock","0","0","OCC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","www.phoenixfed.com","80","386462","39404","36229","85143","0","236314","3746","0","8097","720","119","16665","386462","339532","337387","306986","337387","94.4925251040321","0","0","0","0","2145","46930","46930","0","0","0","46930","0","7079","0","1072","357686","204683","384577.5","384577.5","250585","380197","11566","11566","0","0","10327","2962","0","0","49516","47149","3141","49516","0"
"31089","6359","884376","0","Pickens Savings and Loan Association, FA","Pickens","SC","29671","3/31/2015","5/17/2015","SA","205 E Cedar Rock St","","1","0","0","8","0","Pickens","24860","Greenville-Anderson-Mauldin, SC","1/1/1920","11/10/1959","7/21/2011","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","www.pickenssavingsandloan.com","19","92912","9379","8669","23115","0","55920","880","0","479","114","0","3905","92912","83387","74169","72270","74169","99.1170602825407","0","0","8750","0","468","9525","9525","0","373","5498","3654","0","761","0","377","87704","47409","92468.5","92468.5","52593","92554","2434","407","0","2027","3016","1028","8750","0","7159","9229","660","7159","0"
"27619","7","864471","0","Piedmont Federal Savings Bank","Winston Salem","NC","27103","3/31/2015","5/17/2015","SA","201 South Stratford Road","","10","0","0","5","0","Forsyth","49180","Winston-Salem, NC","1/1/1903","6/8/1935","8/28/2012","Non-Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","www.piedmontfederal.com","119","915309","97915","78782","270134","2551","518017","999","0","22189","18","0","4485","915309","693382","687341","682799","687341","93.921419717523","0","0","337","0","5704","221927","221927","0","0","0","221927","0","871","0","2165","869484","559054","917713","917713","342597","914376","0","0","0","0","52245","536","337","0","19578","221753","999","19578","0"
"13030","0","37051","2765282","Pigeon Falls State Bank","Pigeon Falls","WI","54760","3/31/2015","5/17/2015","NM","40214 S Ekern Avenue","PFSB BANCORPORATION, INC.","3","0","0","2","0","Trempealeau","","","4/6/1920","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","http://www.pfsbank.com","24","77744","9171","8728","7195","0","58572","947","0","1537","0","0","1269","77744","69394","69258","62817","69258","92.2893860066635","0","0","0","0","136","8350","8350","0","100","3300","4950","0","117","0","444","74495","14744","77358","77358","53289","77201","405","405","0","0","8123","548","0","0","5300","8121","669","5300","0"
"5628","0","173342","1098321","Piggott State Bank","Piggott","AR","72454","3/31/2015","5/17/2015","SM","271 West Cherry Street","PIGGOTT BANKSTOCK, INC.","2","0","0","7","0","Clay","","","3/10/1930","1/1/1934","11/5/2010","Stock","0","0","FED","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Western","www.piggottstatebank.com","17","80013","9049","6719","41543","0","28186","680","0","644","43","0","548","80013","72063","71415","62476","71415","89.5516329073169","0","0","538","0","110","7950","7950","0","100","975","6875","0","0","0","354","76448","41668","80114.5","80114.5","34683","80770","0","0","0","0","2565","115","538","0","4227","6828","436","4227","0"
"26379","11982","880332","3447428","Pike National Bank","Mccomb","MS","39648","3/31/2015","5/17/2015","N","350 Rawls Drive","PCNB CORP.","10","0","0","4","0","Pike","","","9/30/1985","9/30/1985","2/1/2007","Stock","0","0","OCC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","www.pnb-ms.net","76","210151","12734","8245","45862","4375","128941","1955","0","8681","3130","0","6428","210151","181378","160722","124209","160722","81.4688528662816","0","0","18499","0","2157","28773","28773","0","2602","4796","21375","0","2724","0","694","187423","55983","206452.5","206452.5","139899","207382","3136","3136","0","0","10318","5501","18499","0","6453","28363","1760","6453","0"
