cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,webaddr,idntilr,idntigr,intincy,intexpy,nimy,noniiay,nonixay,elnatry,noijy,roa,roaptx,roe,roeinjr,ntlnlsr,elnantr,iderncvr,eeffr,astempm,iddivnir,ernastr,lnatresr,lnresncr,nperfv,nclnlsr,lnlsntv,lnlsdepr,idlncorr,depdastr,eqv,rbc1aaj,rbc1rwaj,rbcrwaj,rbct1cer,asset5,ernast5,eq5,lnlsgr5
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","3/31/2015","5/17/2015","SM","304 High Street","DELMARVA BANCSHARES, INC.","3","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","10/31/2014","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","www.1880bank.com","","","3.58390987988338","0.274811847570271","3.3090980323131","0.428833345418009","2.81331247863602","0","0.633927554096187","0.646357506137289","0.646357506137289","5.68590824183334","5.68590824183334","-3.31136792609027E-03","0","","81.6105769230769","5.88851515151515","0","91.3210615424993","1.21557579690028","58.7301587301587","1.80577498057338","2.0697641947221","61.8939795493024","71.6030052627819","77.9278082662192","86.4404773544805","11.3261047442119","11.3303441052181","17.4096772403295","18.6567933339147","17.4096772403295","193082","176120.5","21949","120796"
"33785","15377","2713920","3063622","1919 Investment Counsel & Trust Company,  National Association","Baltimore","MD","21202","3/31/2015","5/17/2015","N","100 Light Street","STIFEL FINANCIAL CORP.","1","0","0","7","0","Baltimore City","12580","Baltimore-Columbia-Towson, MD","2/16/1993","9/29/1999","10/8/2014","Stock","0","1","OCC","DIF","New York","KANSAS CITY","Baltimore","Richmond","Northeastern","Southeast","http://www.1919ic.com","","","0.633716603855109","0","0.633716603855109","82.6798249922546","66.2974073766218","0","9.63600504771908","9.63600504771908","16.5819083098453","13.9361550987399","13.9361550987399","","","","79.9927060539752","0.641038834951456","0","35.155315249822","","","0","","0","0","","0.757265966952913","70.4999469913823","68.9239639938607","104.123452921824","104.123452921824","104.123452921824","66168.5","20829.5","45751.5",""
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","3/31/2015","5/17/2015","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","http://www.1stadvantagebank.com","","","4.2940168980171","0.429974989788094","3.864041908229","0.367905366564045","3.41845403099092","9.19763416410112E-02","0.301478008712203","0.301478008712203","0.301478008712203","3.43572572426845","3.43572572426845","0","","","89.6782841823056","5.0256875","0","89.3646391662832","1.42876685260902","24.940302467498","11.4996704430986","5.72874709306744","80.6494136374377","90.9168652740782","95.9149867629006","88.7067689743941","8.58215915732922","8.86841832504146","9.86481812417133","11.115754885571","9.86481812417133","78281","69771.5","6869","63514.5"
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","3/31/2015","5/17/2015","SM","201 North Wilbur","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Richland","","","6/9/1975","6/9/1975","9/20/2014","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","www.our1stbank.com","","","2.98103563067804","0.120272330920728","2.86076329975731","0.683029274085123","2.21395695737937","0","1.08342574510054","1.08342574510054","1.08342574510054","11.5047936640267","11.5047936640267","0","","","67.1428571428571","5.425","0","89.6200716845878","4.16456970306996","","0","0","46.8018433179724","52.1164986543812","52.1164986543812","89.8023553507424","9.93958013312852","9.7551660368256","19.402686710379","23.3727810650888","19.402686710379","50949.5","46561","4798","23527.5"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","3/31/2015","5/17/2015","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","http://www/1stbankandtrust.com","","","4.31235787332667","0.143163297818942","4.16919457550773","1.04892367906067","2.35146771037182","9.39334637964775E-02","2.34207436399217","2.34207436399217","2.34207436399217","23.4804787129684","-145.246223268589","6.39330446659498E-02","272.727272727273","70.7272727272727","49.1170699803793","2.82662222222222","718.582887700535","89.7333291403953","1.45359244991193","597.058823529412","0.133649900155663","0.243458833975396","54.0983348794792","59.0767434473167","60.0280896425986","91.5729807072438","8.24305413607132","7.67790548389069","13.3286459093381","14.5770042054153","13.3286459093381","127750","114554.5","12742.5","68822"
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","3/31/2015","5/17/2015","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","www.1stbankseaisle.com","","","4.01571366215626","0.282770007401363","3.7329436547549","0.161782389638969","2.77987374885024","0.213970257264442","0.398367389541116","0.398367389541116","0.589722904167854","3.93234309264188","3.93234309264188","1.37959181327225E-02","2050","77","77.5728155339806","5.662675","0","91.6046744692217","0.771371632765256","37.7522421524664","2.26527215494444","2.04324720542423","76.4996225282221","87.1566462620278","92.8999571091572","87.7725633203389","10.3343384531162","10.3657780533168","15.8919175803659","16.8064089072949","15.8919175803659","229938.5","210772","23294","173964.5"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","3/31/2015","5/17/2015","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","4","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","2/21/2012","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","http://www.1stbankyuma.com","","","4.79105749721553","0.231306302342479","4.55975119487305","0.669577544655515","3.64184859654097","6.35100652112277E-02","0.765042245534448","0.776637368868727","1.09418769492487","7.35790265391641","7.35790265391641","0","","","76.062215477997","4.19592592592593","0","89.6142642775179","1.03950364798655","56.6108643662453","1.29181745961691","1.83622641982899","69.6204431106011","78.1729611330535","82.0691843859092","89.0594933356872","10.4016241504105","9.75608645359905","12.0833873869809","13.0304072918841","12.0833873869809","220437.5","198870.5","23267.5","158075.5"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","3/31/2015","5/17/2015","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","www.1stcameron.com","","","3.1505822379929","0.255884851816682","2.89469738617622","0.327058376117133","3.08803955124548","0","-7.60600874691006E-03","-7.60600874691006E-03","-7.60600874691006E-03","-8.34115316442498E-02","-8.34115316442498E-02","0.013489132817374","0","-1","100.246913580247","3.62466666666667","0","95.5398197535406","0.906261755753907","981.481481481482","0.415670406474159","9.23361034164358E-02","53.2940960088284","69.3803275548319","75.7324690938554","76.8144197167556","8.8192017656796","9.05349017238449","19.1830692910866","19.1830692910866","19.1830692910866","52590","50022.5","4795.5","29653.5"
"58485","0","3594797","0","1st Capital Bank","Monterey","CA","93940","3/31/2015","5/17/2015","NM","5 Harris Court, Bldg N, # No","","4","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","7/26/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","www.1stcapitalbank.com","","","3.31121693687909","0.147145379635079","3.16407155724401","0.268270932484796","2.24941368626053","0.169256108823215","0.593242661425369","0.593242661425369","0.852204507924888","6.70164075477109","6.70164075477109","-1.42251515497265E-02","-1666.66666666667","","68.771021992238","7.27954545454545","0","96.2156311791029","1.5894476977839","5537","2.08138203767302E-02","0.028705936387645","71.3545634301176","78.4536872818811","81.8222609401291","90.9511915912166","8.84587366011031","8.91302144480012","13.3139668751557","14.5705787543015","13.3139668751557","472656.5","448536","41840.5","337430.5"
"57657","0","3247598","3602236","1st Century Bank,  National Association","Los Angeles","CA","90067","3/31/2015","5/17/2015","N","1875 Century Park East, # 14","1ST CENTURY BANCSHARES, INC.","1","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","3/1/2004","3/1/2004","3/31/2006","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","www.1cbank.com","","","3.56135853755223","0.108003339848503","3.45335519770373","0.103177792810671","3.01745119232757","9.98494769135528E-02","0.180394721623819","0.212346554236156","0.37743102273323","2.19298622509044","2.19298622509044","-1.38721207221306E-02","-937.5","","87.5942028985507","8.56416666666667","0","96.8230028218352","1.6181870470014","1228.63924050633","0.102494242807564","0.131705629582085","76.5614154584671","87.7124564311035","98.5039529444167","87.2868217054263","9.50585449709708","9.77280941374238","11.2884560119921","12.542426854937","11.2884560119921","600904.5","581463.5","58185.5","461357"
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","3/31/2015","5/17/2015","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","4","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","http://www.1stcolonial.com","","","3.28307486296801","0.28613046905843","2.99694439390958","0.595624359889049","2.23335233499329","0.293509917312902","0.628130344216863","0.628130344216863","0.962750771120823","9.66905204289998","9.66905204289998","3.11212600998214E-02","1535","65.7","64","8.5584","0","96.6166573191251","1.55013591060103","243.679525222552","0.641241353524023","0.636137118695258","60.9398953075341","68.4996348773556","74.741974038332","88.9638250140213","6.48485698261357","6.55326646787747","10.5744971685218","11.8285491115017","10.5744971685218","418384.5","404011.5","27179.5","257059"
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","3/31/2015","5/17/2015","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","3/13/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","http://www.1stcommunitybanks.com","","","3.64450716323588","0.681044267877412","2.96346289535847","0.135532919675568","2.29841242949818","8.47080747972301E-02","0.48001242385097","0.542131678702272","0.542131678702272","6.4543238927641","6.4543238927641","0","","","80.276134122288","4.17376470588235","0","91.4155650139527","0.782445627573125","88.5365853658537","0.577839163401641","0.883754014614274","64.873016320433","74.6065448887304","90.7424200607184","86.9535191814415","8.56329452884968","8.53651685393258","12.5226635899126","13.2705620570298","12.5226635899126","70831.5","65194","5949.5","46662.5"
"27552","10064","1412619","2784920","1st Constitution Bank","Cranbury","NJ","8512","3/31/2015","5/17/2015","NM","2650 Route 130","1ST CONSTITUTION BANCORP","19","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","2/8/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","www.1stconstitution.com","","","4.2474399044918","0.463947080213951","3.78349282427785","0.764433552303242","2.68200943775182","0.202875146577293","0.940123429239178","0.940123429239178","1.3803624973119","8.90699931765543","8.5648659817593","3.53221079481257E-02","819.672131147541","63.9672131147541","61.8531202435312","5.66969832402235","3.84117393180837","92.5582041549904","1.02433989611936","129.602252727913","1.13807006964398","0.790371983942179","70.1108312739684","87.7870817381777","91.026995770637","79.8646337089457","10.3715133671503","9.69438636335067","10.5723193344704","11.4135991674026","10.5723193344704","985828","912173","104053","690785.5"
"34393","0","2531562","2531553","1st Equity Bank","Skokie","IL","60076","3/31/2015","5/17/2015","NM","3956 West Dempster Street","FIRST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","","","","3.44244467685455","0.499508296520613","2.94293638033394","0.110169232181657","1.6484581407922","1.63213677306158E-02","1.32203078617988","1.32203078617988","1.33019147004519","8.68545387528064","-2.03732868679422","-1.16934275628704E-02","-200","","55.0408719346049","10.7553333333333","123.456790123457","97.9710324593483","1.41463984349908","49.2127983748095","2.03413293663092","2.87453648281702","69.7628050166326","85.7260736546786","94.149878006274","81.378747494783","15.3897807805946","15.2517558408584","22.9583737882781","24.2082389384623","22.9583737882781","98031","96094.5","14921.5","68414.5"
"57611","0","3203996","3203987","1st Equity Bank Northwest","Buffalo Grove","IL","60089","3/31/2015","5/17/2015","NM","1330 Dundee Road","NORTHWEST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","","","","3.22268114833512","0.56090969353934","2.66177145479578","1.97075886533558E-02","2.52257134762955","0","6.89765602867454E-02","6.89765602867454E-02","6.89765602867454E-02","0.347243752712842","0.347243752712842","0.188167406269111","0","0.466666666666667","97.3384030418251","8.0426","0","96.6055753114664","1.16883526038877","8.17540766857647","11.2849078656156","14.296966069122","78.0095988859324","97.9149759660403","107.255196936543","79.6707532390023","20.0606768955313","19.8768017740545","27.3689567430025","28.6174724342663","27.3689567430025","40593.5","39222","8063.5","31886.5"
"1673","0","526452","0","1st Financial Bank USA","Dakota Dunes","SD","57049","3/31/2015","5/17/2015","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","http://www.1fbusa.com","","","20.7188240159404","1.88791558579896","18.8309084301415","1.53249974381657","10.4966194243506","4.13741470137377","2.25469303648122","2.25469303648122","3.65836911187652","12.9460408186137","12.9460408186137","4.2569200623228","130.157894736842","2.45245614035088","57.382396878144","1.97119676549865","0","88.5532069671851","4.29866416517088","143.921000181192","2.27617685426506","2.98682204803954","72.541480130286","99.4069379823899","325.184504106902","72.9742627653785","17.1682751868554","16.8537681838378","20.0083186057889","21.2897344898639","20.0083186057889","717259.5","638376","124918.5","535598.5"
"58548","0","3655081","0","1st Manatee Bank","Parrish","FL","34219","3/31/2015","5/17/2015","NM","12215 Us Highway 301 N","","3","0","0","4","0","Manatee","35840","North Port-Sarasota-Bradenton, FL","11/13/2007","11/13/2007","1/25/2010","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","WWW.1STMANATEE.COM","","","5.03741493564988","0.8455151131367","4.19189982251318","0.533188115431976","3.79083745483954","0","0.374694696972776","0.429151409981834","0.643727114972751","4.49821093883115","4.49821093883115","-1.66671007057475E-02","0","","87.0799103808813","4.42903448275862","0","91.3641955123713","1.07661869419811","119.910514541387","1.1351427103284","0.897851784154021","76.6875321156631","84.6735093872499","94.0028439727818","90.5685056289999","9.18858317372822","9.35262868063879","11.7780837285197","12.8713477130182","11.7780837285197","123033.5","112121","11738","95997.5"
"6646","8805","480723","0","1st National Bank","Lebanon","OH","45036","3/31/2015","5/17/2015","N","730 East Main Street","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","WWW.BANKWITH1ST.COM","","","4.22975847828807","0.572072152600247","3.65768632568783","3.68666531244648","4.96759829049616","9.55920132872898E-03","1.96919547371817","1.96919547371817","1.96919547371817","17.0060539350578","17.0060539350578","0.674285650913003","1.97368421052632","4.08552631578947","71.5137614678899","2.16239655172414","0","88.2059337102034","1.53500645668407","53.9463299131807","3.17814685175292","2.8454325978328","69.9160414291296","82.6714937587208","89.8976850997519","84.570918281919","11.8363246398074","11.4329807414076","17.9276792578868","19.1641143923066","17.9276792578868","125533.5","111874","14536","90169.5"
"3564","11706","737632","3437782","1st National Bank of South Florida","Homestead","FL","33030","3/31/2015","5/17/2015","N","1550 North Krome Avenue","HOMETOWN OF HOMESTEAD BANKING COMPANY","6","0","0","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","10/24/1932","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","http://www.1stnatbank.com","","","3.90227145862854","0.629309974666151","3.27296148396239","0.451530451392039","2.82114257504618","5.53647692442555E-02","0.74434856428388","0.74434856428388","0.505664892430867","7.88453393281856","7.88453393281856","-7.83089188964316E-03","-1125","","83.1211349581666","3.64036263736264","0","89.6607933637815","1.02940827981706","272.521957340025","1.78976252214941","0.377734069527714","63.0365287844165","77.6874169918787","80.0803015719014","81.141233967151","9.39738523815705","9.38786333377528","13.8937310054668","14.8848691715874","13.8937310054668","325116.5","291112.5","30693","204319"
"26977","10790","1000511","2421896","1st National Community Bank","East Liverpool","OH","43920","3/31/2015","5/17/2015","N","16924 St. Clair Avenue","TRI-STATE 1ST BANC, INC.","5","0","1","8","0","Columbiana","","","6/1/1987","6/1/1987","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","www.1stncb.com","","","3.63177160760242","0.198212887034639","3.43355872056778","1.01582775482017","3.49599201000976","1.48512829652072E-02","0.638605167503908","0.638605167503908","0.695040042771695","6.55462825349644","6.55462825349644","2.38971823728409E-02","125","59.75","83.1214689265537","2.95689361702128","0","93.075683221322","1.23226288274832","101.726263871763","0.594355778778764","1.21135175504108","47.5808424597407","53.7837749906463","59.8226805989053","88.4669074790968","9.58812439736929","9.55604816967228","18.406589443619","19.6558140876765","18.406589443619","134668.5","125118","13120.5","66953.5"
"57633","0","1018927","4347208","1st Security Bank of Washington","Mountlake Terrac","WA","98043","3/31/2015","5/17/2015","SB","6920 220th St Sw, Suite 300","FS BANCORP, INC.","8","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","3/31/2006","Non-Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","WWW.FSBWA.COM","","","5.67911748906296","0.663182347306698","5.01593514175626","2.95440509051211","4.86635272719164","0.349037093917156","1.63355565057121","1.6730511368429","2.51461835217649","15.1231781811171","15.1231781811171","0.2624590052203","158.450704225352","12.7323943661972","63.4378159757331","2.57643203883495","0","93.9560429208","1.40140229833561","591.863765373699","0.199154019350159","0.236777849958558","82.9313512138598","100.245743893412","116.706527445605","82.7280520777398","10.9687326305476","11.198795192369","12.4504042883365","13.7030318401245","12.4504042883365","515704.5","484934.5","57051.5","432829.5"
"9087","10250","991340","1199602","1st Source Bank","South Bend","IN","46601","3/31/2015","5/17/2015","SM","100 North Michigan Street","1ST SOURCE CORPORATION","82","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","6/7/2008","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","www.1stsource.com","","","3.94213437559306","0.256081396267537","3.68605297932552","1.68100583852749","3.21796803679901","2.95537813628639E-02","1.17619082802121","1.17619082802121","1.80807882001768","8.84291502511343","3.23144811446994","3.52269620919645E-02","109.174311926605","67.8837920489297","63.3027673161945","4.26401319261214","63.4572072072072","91.6252129921663","2.28515297726716","317.933198834342","0.583393819911501","0.71875255105329","75.0560364573697","94.0038192036919","106.677380761477","79.8436032633257","13.3314480909652","11.8550791636874","13.7650823830589","15.0289881110526","13.7650823830589","4831869","4423593.5","642684","3713065"
"57626","0","3223305","3223293","1st State Bank","Saginaw","MI","48604","3/31/2015","5/17/2015","NM","4800 Fashion Sq Blvd, # 100","VALLEY FINANCIAL GROUP, LTD.","4","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","www.1ststatebk.com","","","3.83162712516581","0.431361827516024","3.40026529764979","0.459241174251566","2.73107914646747","0.140584032934153","0.48173461952103","0.48173461952103","0.734785878802505","5.35514286458469","5.10509728335895","9.55993567528996E-02","214.285714285714","13.3428571428571","75.7276507276507","4.58608695652174","4.66926070038911","92.575369738339","1.41640172821391","82.0220298977183","2.03308684110732","1.72685524849868","68.7898179749716","79.1715085353279","90.1500232955428","86.8870875995449","9.16856276071293","9.03764828196639","10.9266536061694","12.1071942201637","10.4736883825744","213395.5","197514","19196.5","146444.5"
"22543","14261","170640","3070152","1st State Bank of Mason City","Mason City","IL","62664","3/31/2015","5/17/2015","NM","123 West Elm Street","FIRSTATE BANCORP, INC.","1","0","0","7","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","www.1ststatebankmc.com","","","2.9045643153527","0.387275242047026","2.51728907330567","0.34818708359838","1.76771903980716","0.4017543272289","0.616023301750979","0.616023301750979","0.616023301750979","5.20435581954462","-12.8977513788714","6.53114539962446E-02","1500","38","63.4615384615385","7.6135","347.826086956522","97.3238326656597","1.23663101604278","104.225352112676","0.466277007946411","1.18649732620321","38.8126354501872","43.8915707389528","44.322783860807","88.4284494647665","11.4763249491036","11.0693940963231","26.4398917665249","27.58407421724","26.4398917665249","29869","28920","3535.5","12249"
"8426","10595","526519","1830240","1st Summit Bank","Johnstown","PA","15904","3/31/2015","5/17/2015","NM","125 Donald Lane","1ST SUMMIT BANCORP OF JOHNSTOWN, INC.","15","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","http://www.1stsummit.com","","","3.87479804319233","0.856753198816766","3.01804484437556","0.46983036861054","1.92856715047216","0.102040589972072","1.01873775790205","1.11179877595658","1.45918043660063","12.6615215551542","7.35136227563819","0.183584146261311","111.650485436893","15.7427184466019","57.2727272727273","5.36110650887574","41.9393455706305","95.9325715458811","1.2534911557388","317.696629213483","0.457823000859798","0.394556013654298","49.1690644980779","55.3135034058372","58.4917675481211","88.8916113978943","8.8486325462707","8.45437371626649","14.9718517115816","16.200355848019","14.9718517115816","901602","865593.5","79169","448840.5"
"57869","0","3309393","0","1st Trust Bank, Inc.","Hazard","KY","41701","3/31/2015","5/17/2015","NM","24 Commerce Drive","","3","0","0","4","0","Perry","","","12/13/2004","12/13/2004","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","http://www.1sttrustbankinc.com","","","4.14088649254254","0.589314473776346","3.55157201876619","0.388065431567151","2.50893639981116","0.166017296927124","0.661993971496905","0.661993971496905","1.00232943019751","8.09696046703471","8.09696046703471","1.04762434809938E-02","2000","140.75","68.2279909706546","4.63719512195122","0","92.1136094674556","0.628819005478298","32.9993089149965","1.76042077580539","1.90555204382638","79.3777777777778","87.5708640628536","125.398421271292","90.6440499671269","8.89204470742932","8.73546331167488","11.1301527874817","11.7596266659636","11.1301527874817","192751","178512.5","15759","152726.5"
"31249","6607","350572","3800630","1st United Bank","Faribault","MN","55021","3/31/2015","5/17/2015","NM","430 4th St Nw","FARIBAULT FSL BANCORPORATION, INC.","2","0","0","4","1","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","WWW.1STUNITED.COM","","","4.18042874082165","0.233409765056613","3.94701897576503","0.33329684956802","3.33861759482543","-0.480173427343758","1.18913537006895","1.18913537006895","1.2004335683594","12.4657635650307","-6.78066474202384","0.158970432668424","-500","7.5","82.2546972860125","4.18905882352941","154.394299287411","94.7082034431432","1.05768220502224","","1.05035526722274","0","59.5058555901929","67.3605150214592","67.5220484548156","88.3393714719016","9.49462184401943","8.75977782753465","11.7114246260514","12.5872707784119","11.7114246260514","141615.5","133670.5","13509","85550.5"
"9751","0","340256","3304343","21st Century Bank","Loretto","MN","55357","3/31/2015","5/17/2015","NM","699 North Medina Street","DOLPHIN FAMILY LIMITED PARTNERSHIP","7","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","http://www.21stcenturybank.com","","","4.03364825271519","0.414207310759035","3.61944094195615","0.331220632238434","2.10970701008819","1.17892089440799","0.236188380331108","0.254871469552964","0.407569794923903","1.98088921855229","1.98088921855229","1.48970515320178","105.105105105105","1.38838838838839","57.5321494182486","7.98684444444444","0","92.1454169078039","0.626982343558327","53.0052943008409","4.07753861906246","1.18286739433948","75.0559252993812","86.4813657129118","111.26477648631","86.7885522859814","12.8308217958421","13.157686615223","17.7823924387423","18.432092591815","17.7823924387423","356258","328338","45838","268241"
"91005","0","455253","3688089","5Star Bank","Colorado Springs","CO","80914","3/31/2015","5/17/2015","NM","Peterson Air Force Base, 455","5STAR FINANCIAL, LLC","4","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/10/1980","11/5/1985","8/23/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","http://www.5starbankus.com","","","4.07637728405884","0.301953872893248","3.7744234111656","0.32810705664534","2.70219597365769","0.058590545829525","0.780426070449272","0.780426070449272","1.19993437858867","3.50673967986521","3.50673967986521","2.11444429760804E-02","416.666666666667","89.5","68.2248520710059","6.24466666666667","0","97.1466021375277","1.03973718239961","152.759948652118","0.462023890015776","0.680634676545626","67.1755453542579","87.2938311187841","90.7424469423236","76.9533705799319","22.6172259587441","21.7960101476015","30.0840376259371","31.0310525394324","30.0840376259371","170676","164263.5","37984","113505"
"27831","358","671370","0","A J Smith Federal Savings Bank","Midlothian","IL","60445","3/31/2015","5/17/2015","SA","14757 S Cicero Ave","","3","0","0","5","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1924","12/3/1934","7/21/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","www.ajsmithbank.com","","","2.70043061893438","0.421620926794781","2.2788096921396","0.245595451797206","2.17286357735085","2.81216166180006E-02","0.087589461892866","0.187477444120004","0.260593647326806","1.32395531650807","1.32395531650807","0.166434784870038","31.25","1.66666666666667","93.543179983858","4.87406976744186","0","90.9273087291552","0.926503186478249","36.6941015089163","2.16236849011141","2.52493765586035","54.5926473745736","67.2497193471221","70.2709674249496","81.1789965884963","14.1031085239879","13.5030463104755","31.8308770767787","33.0120880940553","31.8308770767787","213359","194487.5","30212.5","115360.5"
