cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,webaddr,idntilr,idntigr,intincy,intexpy,nimy,noniiay,nonixay,elnatry,noijy,roa,roaptx,roe,roeinjr,ntlnlsr,elnantr,iderncvr,eeffr,astempm,iddivnir,ernastr,lnatresr,lnresncr,nperfv,nclnlsr,lnlsntv,lnlsdepr,idlncorr,depdastr,eqv,rbc1aaj,rbc1rwaj,rbcrwaj,rbct1cer,asset5,ernast5,eq5,lnlsgr5
"10168","15781","217059","1247576","First Farmers & Merchants Bank","Cannon Falls","MN","55009","3/31/2015","5/17/2015","NM","920 4th Street South","215 HOLDING CO.","8","0","0","2","1","Goodhue","","","6/21/1915","1/1/1934","11/20/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","http://www.ffmbank.com","","","4.64335866927939","0.363743174785838","4.27961549449356","0.810900110322736","3.08231644144775","0","1.69796210946031","1.69796210946031","1.69945547982923","12.9360733840575","12.8336770248169","2.71354843423037E-02","0","87.5384615384615","64.0224859462836","3.77854285714286","0.79155672823219","93.2146934948468","1.02927087205315","103.256302521008","0.881670182761306","0.99681166856012","71.4723740822237","84.0863802152833","86.0467550910796","84.998752353515","13.5853579233113","12.462214998557","15.388474938689","16.3103673033007","15.388474938689","267850.5","248527","35157.5","191631"
"5186","0","917854","1247576","First Farmers & Merchants National Bank","Luverne","MN","56156","3/31/2015","5/17/2015","N","303 East Main Street","215 HOLDING CO.","2","0","0","2","1","Rock","","","1/1/1931","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Central","West","http://www.ffmbank.com","","","4.30449927157048","0.213966338060521","4.09053293350996","2.0881492210825","4.01312483372255","0","1.91551627302019","1.91551627302019","1.91788110792515","13.9450804854954","12.2578979082379","2.98550908527734E-03","0","811","67.6634768740032","3.42160416666667","12.0987654320988","95.3603633773145","0.966585487603806","342.627345844504","0.227110821556653","0.282109848885931","79.7262492617376","97.5438962432116","102.513916181916","81.7337140839153","14.4321925022985","14.0352342985367","16.3677488951526","17.2571945575391","16.3677488951526","169145","158903.5","23234","133980.5"
"33131","0","1470150","1247576","First Farmers & Merchants National Bank","Fairmont","MN","56031","3/31/2015","5/17/2015","N","114 South Park","215 HOLDING CO.","2","0","0","4","1","Martin","","","9/7/1990","9/7/1990","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","http://www.ffmbank.com","","","4.16270595690748","0.396070975918885","3.76663498098859","0.23609552192592","2.63188450671518","0","1.28497890621976","1.28497890621976","1.28497890621976","10.1895189135272","9.94398833729763","-6.77326495561092E-02","0","","67.1936758893281","6.397375","2.40963855421687","97.8370034584498","1.19196834525302","38.9401846647933","2.43361535004592","3.06102386394357","78.555657593935","101.950044376823","127.755445749059","77.0530881806991","12.9467164266594","12.3724212298641","15.4208912992219","16.5644895071917","15.4208912992219","103348","100992","13033","82678"
"1600","0","276654","1247576","First Farmers & Merchants State Bank","Brownsdale","MN","55918","3/31/2015","5/17/2015","NM","106 W Main St","215 HOLDING CO.","3","0","0","2","1","Mower","","","2/8/1908","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","http://www.ffmbank.com","","","3.91838697076234","0.250007512244959","3.66837945851738","0.311315646995127","2.76123443421765","0.103771882331709","0.888828731275943","0.888828731275943","0.888828731275943","6.45531252560007","5.43950192512493","1.45710200624732E-02","1150","110","73.5576923076923","5.40917647058824","15.7360406091371","91.8700247944669","1.16787779919917","228.260869565217","0.373004480403671","0.511641702506303","57.9777284788377","71.6586021505376","78.0608509766025","80.9082604723998","13.4129366218626","12.5099566333304","17.9125283150375","18.910484880166","17.9125283150375","88656","83197.5","12207","54903.5"
"15621","0","77150","1247576","First Farmers & Merchants State Bank of Grand Meadow","Grand Meadow","MN","55936","3/31/2015","5/17/2015","NM","105 North Main Street","215 HOLDING CO.","3","0","0","2","1","Mower","","","4/9/1938","10/4/1938","9/19/2007","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","http://www.ffmbank.com","","","4.33130625622384","0.340316920131873","3.99098933609196","0.24636788522155","2.76801565160683","0","1.21734719756531","1.21734719756531","1.21734719756531","11.5762273901809","11.5762273901809","-9.39275818344057E-02","0","","69.4545454545455","5.05509090909091","0","95.9069165198","1.40805073715597","613.40206185567","0.174441607020825","0.229547767233831","74.9235693989857","86.7452319480303","96.3461449516674","86.3719742473834","10.590583749955","10.4720920479204","13.1463889206822","14.3962458509786","13.1463889206822","55202","51716.5","5805","42586"
"1487","11469","150035","1083783","First Farmers and Merchants Bank","Columbia","TN","38402","3/31/2015","5/17/2015","SM","816 South Garden Street","FIRST FARMERS AND MERCHANTS CORPORATION","20","0","0","4","0","Maury","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","1/1/1909","1/1/1934","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","www.myfirstfarmers.com","","","3.42172393016601","0.205383408110464","3.21634052205554","0.838896651006647","2.66988854046849","0","0.838191131196028","0.904409204849777","1.23230793588001","9.48480124021175","5.48582300557567","-6.02338428363514E-03","0","","70.0484795063905","5.28162608695652","42.1619613670134","92.5796074002242","1.17558094623611","151.89292543021","0.4305327575335","0.773953719639335","54.9737646673373","62.7622231390745","65.846989686249","87.5905312428485","9.51172810745044","9.02589282602357","13.5661826712255","14.5811931739777","13.5661826712255","1190611.5","1100381","113529","664078.5"
"12839","12880","139843","1249039","First Farmers Bank and Trust Company","Converse","IN","46919","3/31/2015","5/17/2015","SM","123 North Jefferson Street","FIRST FARMERS FINANCIAL CORPORATION","29","0","1","2","0","Miami","","","1/1/1932","1/1/1934","10/28/2013","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","www.ffbt.com","","","4.09727381489796","0.357580260209277","3.73969355468869","0.822481462239645","2.72528219902706","0.136022292542389","1.05432390308412","1.05432390308412","1.45120672554669","10.1114638141207","5.76307054543346","5.61677101746155E-02","330.882352941176","38.6102941176471","61.5336090278265","4.00041768292683","43.0045871559633","93.593809183035","1.31431744077722","93.0443103194465","1.16740858614611","1.41257153313814","72.3362728129761","87.8184067334622","92.7761459550073","82.3702860295838","10.6161932785982","9.84689006834397","12.8282647531916","14.0786935747455","12.8282647531916","1323312.5","1234967.5","137982","968528"
"2762","11484","466549","2847236","First Farmers Bank and Trust Company","Owenton","KY","40359","3/31/2015","5/17/2015","NM","127 North Thomas Street","LEA M. MCMULLAN TRUST","4","0","0","2","0","Owen","","","1/1/1934","1/1/1934","8/9/2008","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","http://www.firstfarmersonline.com","","","4.80803556146725","0.422512482211931","4.38552307925532","0.736579773271539","2.99943782673554","0","1.15090589573678","1.15090589573678","1.70688197460039","7.83604581072936","7.83604581072936","0","","","63.581640331076","3.39239393939394","0","90.7395331802875","1.39139774447102","51.2589928057554","2.44129023037276","2.71444612605575","72.168576762633","88.1854697869368","90.9942785061044","81.8372651832531","14.9791422880061","11.8620332875466","13.1592487779779","14.2872692010845","13.1592487779779","112954.5","102245.5","16590","83093"
"10879","0","894946","3421446","First Farmers State Bank","Minier","IL","61759","3/31/2015","5/17/2015","NM","101 South Main Street","MINIER FINANCIAL, INC. EMPLOYEE STOCK OWNERSHIP PLAN W/401(K) PROVISIONS","3","0","0","2","1","Tazewell","37900","Peoria, IL","1/1/1875","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","http://www.firstfarmers.com","","","3.32053462940462","0.248845686512758","3.07168894289186","0.589743281139047","2.41674389495348","0","1.01524907626945","0.960439057855019","0.970067519587902","8.71845296624058","4.56680869660221","-0.320433527713966","0","","70.2097902097902","4.50286111111111","47.6190476190476","92.9717525277139","1.01349310848846","72.8298611111111","1.71249144062726","1.39159006076127","50.5505758684293","62.4325724560388","64.5223265958536","80.9682732583604","11.4069449670888","10.1502474664153","20.0246428529914","20.9998953841147","20.0246428529914","166174","154312.5","18306","84885"
"31077","6343","943974","0","First Federal Bank","Dunn","NC","28334","3/31/2015","5/17/2015","SA","200 E Divine St","","7","0","0","5","0","Harnett","","","1/1/1958","1/19/1959","7/21/2011","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Raleigh","Richmond","Northeastern","Southeast","firstfederalbanknc.com","","","4.0448786404567","0.569552663845272","3.47532597661142","0.383814971276185","3.62131917704089","0","2.74153550911561E-02","2.74153550911561E-02","4.73537951574514E-02","0.217300046917056","0.217300046917056","3.5820948986491E-03","0","19","98.7092391304348","2.62960655737705","0","94.6068102190691","1.6605784831812","472.164948453608","1.02365248182736","0.351694569582045","67.635250551725","77.8220918305131","86.2531999809194","86.9100906449883","12.4677381145344","12.279003093328","22.8533314610686","24.1264714830677","22.8533314610686","160494","151698","20248.5","111666.5"
"29782","4081","220974","0","First Federal Bank","Dickson","TN","37055","3/31/2015","5/17/2015","SA","611 East College St","","12","0","0","7","1","Dickson","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","10/16/1936","10/16/1936","7/21/2011","Stock","0","0","OCC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","www.ffbtn.com","","","3.49137966299397","0.389905013248121","3.10147464974585","0.741422497645685","2.31566404506619","0","1.1675354321797","1.16594666968475","1.25734322181388","9.72551254876115","1.53185728790011","6.90478908375119E-02","0","47.5483870967742","63.2974910394265","3.63728244274809","84.2490842490842","91.4708573635211","3.20818732966238","314.503816793893","1.50393297571377","1.02007898103343","36.5221077727689","43.3111412536244","46.2551365948828","84.3249720872055","11.8524441534238","10.6650247896166","22.6034585025323","23.8705114751106","22.6034585025323","468289","427796.5","56141","179585.5"
"30291","5117","14977","0","First Federal Bank Littlefield, Texas","Littlefield","TX","79339","3/31/2015","5/17/2015","SB","2313 Phelps Ave.","","1","0","0","2","0","Lamb","","","6/1/1946","7/10/1946","12/1/2011","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","http://firstfedlfd.com","","","4.27857883328621","0.424088210347752","3.85449062293846","0.242266926238373","3.39173696733723","0.129785853341986","0.103828682673589","0.103828682673589","0.259571706683971","0.583515681983953","0.583515681983953","0.024919013207077","750","22.5","89.7025171624714","2.65264705882353","0","92.6022840669697","1.23985718922428","3472.72727272727","2.43929482204236E-02","0.035702693930542","67.4753298591862","84.0552486187845","98.1295149638803","80.2749750526666","18.2481428096241","17.5958150493937","25.5268439538384","26.7247867536377","25.5268439538384","46230","42444","8226","32104"
"31313","6707","384278","0","First Federal Bank of Florida","Lake City","FL","32055","3/31/2015","5/17/2015","SA","4705 West Us Highway 90","","18","0","0","4","0","Columbia","","","1/1/1961","2/16/1962","10/30/2013","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Gainesville","Atlanta","Southern","Southeast","www.ffbf.com","","","3.72705900177231","0.153189868636531","3.57386913313578","2.42414788091453","3.94238842844342","-4.66109997260664E-02","1.17137953053514","1.32014379869311","1.93924312569981","10.233062962329","10.233062962329","0.058961695078541","-147.619047619048","53.0119047619048","69.7142092229436","3.48103012048193","0","90.1241842620329","0.957142569431857","27.0810579799611","1.95309863615361","3.53436180425486","51.0627307039358","60.6967236298746","70.0181175540946","84.1276557451661","12.0398684089843","12.4978825141872","17.4128012229955","18.2891472556356","17.4128012229955","1064126.5","950454.5","137280.5","569861.5"
"30441","5339","517674","0","First Federal Bank of Louisiana","Lake Charles","LA","70601","3/31/2015","5/17/2015","SA","1135 Lake Shore Drive","","18","0","0","5","0","Calcasieu","29340","Lake Charles, LA","10/31/1949","10/31/1949","7/21/2011","Non-Stock","0","0","OCC","DIF","Dallas","DALLAS","Shreveport","Atlanta","Southern","Western","www.ffbla.com","","","3.06390756710116","0.421217087628471","2.64269047947269","0.639206684505084","2.7538327893423","5.43302060000626E-02","0.19506906136892","0.22913173834809","0.325036362852548","1.96394043388911","1.96394043388911","5.27591222320946E-02","209.090909090909","12.7272727272727","88.9110124061878","3.72136123348018","0","92.4911423393221","0.561750769988029","69.453471196455","0.426990739261011","0.808815974653117","49.2645744475578","63.4591602558726","75.3621771190983","77.631935640054","11.7776996480611","11.5509817584106","23.624993605188","24.2466911415409","23.624993605188","846674.5","783444","98781","416989.5"
"27643","41","207470","0","First Federal Bank of Ohio","Galion","OH","44833","3/31/2015","5/17/2015","SA","140 North Columbus Street","","9","0","0","8","0","Crawford","","","1/1/1891","8/26/1935","7/8/2014","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","www.firstfederalbankofohio.com","","","3.13508748942861","0.659416578323586","2.47567091110502","0.552923922388362","2.67527519765344","5.39437973061816E-02","1.34859493265454E-02","1.34859493265454E-02","1.34859493265454E-02","9.27684123555929E-02","9.27684123555929E-02","0","","","97.5414874001229","3.82706451612903","0","88.7191395746761","1.16263307717173","24.7228381374723","2.0398014143747","4.70266832111613","39.9480777821796","51.5292198967111","54.0792806773318","77.5250971434351","14.5525501732145","14.8660124948499","33.544567980875","34.6023223162448","33.544567980875","237284","209882.5","34494.5","95979"
"29845","4192","981275","0","First Federal Bank of the Midwest","Defiance","OH","43512","3/31/2015","5/17/2015","SA","601 Clinton Street","","32","0","1","4","0","Defiance","","","1/1/1920","5/15/1937","2/11/2015","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","www.first-fed.com","","","4.05633918415137","0.291160165021538","3.76517901912983","0.861364640070661","2.69652583541881","2.20815545414397E-02","1.0582585013985","1.0582585013985","1.51939496540556","7.98959449439002","-11.4599487018298","-9.94803883441747E-02","-28.8461538461538","","63.0845382310798","4.63736942675159","243.435924187098","89.7855096669217","1.49356989295551","134.156945917285","1.15612070500838","1.11330045771642","76.4013934614992","93.4312160010391","100.926370004893","81.7728771298979","13.0191314810313","10.9969591824339","12.159298340979","13.4102145829518","12.159298340979","2173760","1949442.5","287924.5","1672691.5"
"30422","5313","331076","0","First Federal Bank of Wisconsin","Waukesha","WI","53186","3/31/2015","5/17/2015","SA","1617 E Racine Ave","","4","0","0","4","0","Waukesha","33340","Milwaukee-Waukesha-West Allis, WI","1/1/1922","10/26/1949","5/17/2014","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","www.firstfederalwisconsin.com","","","4.09025764090258","0.503060805030608","3.58719683587197","0.273406241664444","2.57568684982662","0.205054681248333","0.765204054414511","0.765204054414511","0.856895172045879","5.42465024892526","5.42465024892526","4.66997845972435E-02","615","31.85","70.8065994500458","6.8026","0","93.7763292186601","0.741493262336813","30.7506053268765","1.7346308764296","2.41131273500082","71.4037909874796","88.5014628254917","93.6832186213623","80.6809161203069","14.3428353024684","13.9974107391882","22.7149902046882","23.5729244072148","22.7149902046882","239936","225022.5","33845.5","171307"
"31127","6432","814074","0","First Federal Bank, A FSB","Tuscaloosa","AL","35403","3/31/2015","5/17/2015","SA","1300 Mcfarland Blvd, N.E","","3","0","0","5","1","Tuscaloosa","46220","Tuscaloosa, AL","11/20/1959","11/20/1959","7/21/2011","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","www.1stfed.com","","","3.54915745796861","0.777215710860441","2.77194174710817","9.33747132640669","10.85885845365","3.37336391849953E-03","0.85683443529888","0.85683443529888","0.917554985831871","6.38251091497314","-1.03024782485787","-0.108037445778707","-4","","92.1821305841924","1.1006036036036","116.141732283465","88.2685176848085","1.01764687444494","41.027801179444","3.49848977219707","2.48038365496129","77.5471281115195","103.323154106228","125.247223691169","75.053001219642","13.0133342064551","13.9398617592365","19.2915584257933","20.4423511131613","19.2915584257933","118576","104475.5","15918.5","92560.5"
"29047","2825","950178","0","First Federal Bank, FSB","Kansas City","MO","64120","3/31/2015","5/17/2015","SA","6900 North Executive Drive","","7","0","0","5","0","Jackson","28140","Kansas City, MO-KS","7/1/1934","12/14/1934","7/21/2011","Non-Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","www.ffbkc.com","","","3.39951158323952","0.706088375610959","2.69342320762856","3.11086286364819","4.07362716547352","0.213189615107469","0.82547018969612","0.82547018969612","1.27999044910524","6.67425104285173","6.67425104285173","0.144326177160382","193.798449612403","13.5736434108527","73.1770833333333","3.4141726618705","0","90.7581600185431","0.382806307189633","79.8387096774193","0.514571085403629","0.479474566580954","76.0008007248667","117.878701715511","121.766006650799","64.4737341172008","12.3265271719662","13.2167232538803","23.9629708147834","24.527516704748","23.9629708147834","469066","427708.5","58014","357523.5"
