cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"11953","12008","718538","1131750","The Grant County Bank","Petersburg","WV","26847","3/31/2015","5/17/2015","NM","3 North Main Street","HIGHLANDS BANKSHARES, INC.","7","0","0","4","0","Grant","","","8/6/1902","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","http://www.grantcountybank.com","191720","2467","194187","0","194187","171409","171409","11904","69299","61733","7566","5301","75178","9727","","647","11739","","8120","0","0","2489","5631","2272","0","2238","34","0","0","0","","634","543","1521","10383","2239",""
"13983","0","560830","1206171","The Granville National Bank","Granville","IL","61326","3/31/2015","5/17/2015","N","328 South Mccoy Street","GRANVILLE BANCSHARES, INC.","1","0","0","7","0","Putnam","","","2/27/1934","2/27/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","http://www.gnbonline.com","20541","284","20825","0","20825","14639","14639","548","2556","2556","0","415","10203","917","","1705","1368","","1905","0","0","1269","636","1208","0","1208","0","0","0","0","","0","0","548","0","284",""
"14863","12381","557317","1140640","The Gratz Bank","Gratz","PA","17030","3/31/2015","5/17/2015","NM","32 West Market Street","GNB FINANCIAL SERVICES, INC.","5","0","0","8","0","Dauphin","25420","Harrisburg-Carlisle, PA","11/3/1934","11/3/1934","3/27/2015","Stock","0","1","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","www.gratzbank.com","181290","1107","182397","0","182397","129167","129167","1839","11962","4061","7901","0","106406","8960","","18882","18720","","2535","0","258","1185","1092","13093","0","12001","1092","0","0","0","","874","0","1719","120","1123",""
"12078","0","501039","2470090","The Greenville Banking Company","Greenville","GA","30222","3/31/2015","5/17/2015","NM","412 Lagrange Street","MERIWETHER BANK SHARES, INC.","1","0","0","2","0","Meriwether","12060","Atlanta-Sandy Springs-Roswell, GA","1/1/1887","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","www.greenvillebank.com","8919","117","9036","0","9036","7667","7667","1779","579","579","0","0","2914","2395","","0","988","","381","0","36","133","212","0","0","0","0","0","0","0","","0","0","691","1088","0",""
"11623","13014","576644","3618536","The Greenwood's State Bank","Lake Mills","WI","53551","3/31/2015","5/17/2015","NM","117 North Main Street","GREENWOODS FINANCIAL GROUP, INC.","7","0","0","4","0","Jefferson","","","10/22/1883","1/1/1934","12/16/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","http://www.greenwoodsstatebank.com","121027","1199","122226","0","122226","89490","89490","9530","23579","15916","7663","2453","37447","16481","","3930","22747","","3381","56","181","1562","1582","2678","0","1705","0","973","0","0","","0","0","3802","5728","1199",""
"11469","0","94456","0","The Guide Rock State Bank","Guide Rock","NE","68942","3/31/2015","5/17/2015","NM","401 University Avenue","","2","0","0","2","1","Webster","","","1/1/1906","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","www.grsbank.com","16843","481","17324","0","17324","5678","5678","170","267","46","221","0","249","4992","","7827","2447","","1352","0","0","799","553","20","0","0","20","0","0","0","","0","0","150","20","287",""
"18194","10540","831008","0","The Guilford Savings Bank","Guilford","CT","6437","3/31/2015","5/17/2015","SB","One Park Street","","7","0","0","5","0","New Haven","35300","New Haven-Milford, CT","12/6/1875","7/1/1960","3/20/2014","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Hartford","Boston","Northeastern","Northeast","http://www.gsb-yourbank.com","389508","3969","393477","166","393643","384106","384106","27759","74719","29697","45022","13006","268622","0","","0","9015","0","510","0","19","36","455","12","0","0","12","0","0","0","0","792","0","5607","22152","3969",""
"11259","11014","502559","1052387","The Gunnison Bank and Trust Company","Gunnison","CO","81230","3/31/2015","5/17/2015","SM","232 West Tomichi Avenue","LINDOE, INC.","2","0","0","4","0","Gunnison","","","12/23/1910","1/1/1934","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","http://www.gunnisonbank.com","49149","902","50051","14","50065","44434","44434","11014","19802","12673","7129","2709","8196","2713","","240","4197","","647","0","30","66","551","547","0","0","547","0","0","193","","157","157","4950","6064","638",""
"17451","0","747257","1064513","The Halstead Bank","Halstead","KS","67056","3/31/2015","5/17/2015","SM","314 Main Street","WILLIAMS HOLDING COMPANY, INC.","5","0","0","2","1","Harvey","48620","Wichita, KS","3/10/1882","6/8/1955","4/1/2009","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","www.halsteadbank.com","71540","877","72417","0","72417","42362","42362","6379","6489","1142","5347","0","15115","14379","","13291","9192","","7545","0","69","3409","4067","27","0","0","27","0","0","0","","26","26","5575","804","877",""
"15606","11974","723550","1854303","The Hamilton Bank","Hamilton","MO","64644","3/31/2015","5/17/2015","NM","111 North Davis Street","PRISM GROUP, INC.","3","0","0","2","1","Caldwell","28140","Kansas City, MO-KS","6/11/1938","6/11/1938","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","www.hamiltonbank.net","35737","301","36038","0","36038","26267","26267","683","2528","2132","396","0","10187","12869","","4302","2859","","2515","0","3","1459","1053","95","0","0","95","0","0","0","","0","0","346","337","301",""
"14920","15867","887827","0","The Hamler State Bank","Hamler","OH","43524","3/31/2015","5/17/2015","SM","210 Randolph Street","","1","0","0","2","1","Henry","","","1/1/1921","12/15/1934","3/31/2006","Stock","0","0","FED","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","WWW.HAMLERSTATEBANK.COM","40529","321","40850","0","40850","33698","33698","0","6281","0","6281","0","10208","17209","","3341","3102","","707","0","0","337","370","2","0","0","2","0","0","0","","0","0","0","0","321",""
"24015","10119","533124","2008130","The Harbor Bank of Maryland","Baltimore","MD","21201","3/31/2015","5/17/2015","NM","25 West Fayette Street","HARBOR BANKSHARES CORPORATION","7","0","0","4","0","Baltimore City","12580","Baltimore-Columbia-Towson, MD","9/13/1982","9/13/1982","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","http://www.theharborbank.com","149840","2994","152834","273","153107","120160","120160","5268","73932","49536","24396","10669","30291","0","","636","29388","0","1965","669","920","80","296","958","0","0","9","949","0","0","0","8276","7214","0","5268","2050",""
"20993","9903","526854","1097838","The Hardin County Bank","Savannah","TN","38372","3/31/2015","5/17/2015","NM","235 Wayne Road","HARDIN COUNTY BANCSHARES, INC.","5","0","0","4","0","Hardin","","","3/12/1973","3/12/1973","7/9/2013","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Nashville","St. louis","Southern","Southeast","www.hardincountybank.com","350649","3959","354608","0","354608","241117","241117","55258","63811","44395","19416","1303","106733","14012","","1242","92865","0","19054","0","0","10022","9032","330","0","330","0","0","0","0","0","0","0","4376","50882","3959",""
"28080","866","653778","0","The Harrison Building and Loan Association","Harrison","OH","45030","3/31/2015","5/17/2015","SA","10490 New Haven Road","","3","0","0","5","0","Hamilton","17140","Cincinnati, OH-KY-IN","1/1/1916","4/2/1958","11/21/2014","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","www.bankhbl.com","105945","922","106867","0","106867","101278","101278","1946","15608","3130","12478","1179","81221","1324","","205","4812","","572","0","0","12","560","0","0","0","0","0","0","0","","2068","0","1472","474","922",""
"9030","11662","104234","1249178","The Harrison County Bank","Lost Creek","WV","26385","3/31/2015","5/17/2015","NM","Main Street","HARRISON BANKSHARES, INC.","5","0","0","5","0","Harrison","","","2/1/1911","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","www.hcbwv.com","48295","451","48746","0","48746","39122","39122","706","5580","5580","0","0","32042","794","","91","1502","","6789","0","159","3973","2657","1242","0","0","1242","0","0","0","","0","0","478","228","451",""
"9079","14315","800134","1209604","The Harvard State Bank","Harvard","IL","60033","3/31/2015","5/17/2015","NM","33-35 North Ayer Street","HARVARD BANCSHARES, INC.","6","0","0","4","1","Mchenry","16980","Chicago-Naperville-Elgin, IL-IN-WI","8/1/1866","1/1/1934","7/2/2009","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","www.webhsb.com","112429","1131","113560","0","113560","94357","94357","4007","33013","15799","17214","7319","44453","5565","","2289","9948","","5764","0","11","2732","3021","1202","0","1202","0","0","0","0","","1035","428","0","4007","1182",""
